사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,13081,419,5868,6999,664
차대사람,차도통행중,차도통행중,4507,135,1704,2491,355
차대사람,길가장자리구역통행중,길가장자리구역통행중,1985,28,544,1303,190
차대사람,보도통행중,보도통행중,2632,24,849,1735,206
차대사람,기타,기타,14791,253,4778,9111,1466
차대차,정면충돌,정면충돌,7899,162,3498,8781,612
차대차,측면충돌,측면충돌,65621,317,15386,77040,5983
차대차,후진중충돌,후진중충돌,4017,3,301,4724,254
차대차,추돌,추돌,31939,325,7197,46557,3300
차대차,기타,기타,43459,234,9735,48179,4740
차량단독,전도,전도,895,83,329,395,185
차량단독,전복,전복,130,18,48,71,20
차량단독,공작물충돌,공작물충돌,2809,307,1163,1619,587
차량단독,주/정차차량 충돌,주/정차차량 충돌,23,1,10,7,8
차량단독,도로이탈,도로이탈 추락,323,86,182,112,40
차량단독,도로이탈,도로이탈 기타,157,21,67,67,39
차량단독,기타,기타,4026,134,1330,2377,592
철길건널목,철길건널목,철길건널목,2,1,0,1,0
